                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2342,                 1.1809,                 1.3293,                0.19077,                0.30312,                0.12286,                0.05261,                 2.5947,                 6.5995,                 2.9001,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.2724,                 1.1143,                 1.3042,                0.17747,                0.27813,                0.10593,                0.04594,                 2.6106,                 6.2232,                 2.8793,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.3456,                 1.0851,                 1.4167,                0.17747,                0.27813,                0.10593,                0.04594,                 2.6106,                 6.2232,                 2.8793,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.5732,                 1.2771,                 1.5362,                0.35249,                0.20312,                0.16238,                0.06999,                  2.613,                 4.2298,                  2.823,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.3164,                 1.0718,                 1.3392,                0.38873,                0.29063,                0.24309,                0.09575,                 2.4997,                 4.1234,                 2.8419,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.3196,                 1.0399,                 1.3755,                0.41599,                 0.3375,                0.29378,                0.13016,                 2.3858,                 4.0094,                  2.715,              0.0017228,              0.0017228,              0.0017228
                     73,                   1.23,                 1.0264,                 1.2644,                0.41599,                 0.3375,                0.29378,                0.13016,                 2.3858,                 4.0094,                  2.715,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.4354,                 1.0974,                 1.3492,                0.55567,                0.31562,                0.30546,                0.13498,                 2.4695,                 3.3601,                  2.712,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.4173,                 1.1083,                 1.4151,                0.46786,                 0.3875,                0.33733,                0.15887,                 2.3471,                 2.7112,                 2.5731,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.2565,                 1.0059,                 1.3226,                 0.5096,                0.34687,                0.32146,                 0.1473,                 2.3911,                 2.6639,                 2.5603,               0.001707,               0.001707,               0.001707
                     77,                 1.2777,                0.97981,                 1.3483,                 0.5096,                0.34687,                0.32146,                 0.1473,                 2.3911,                 2.6639,                 2.5603,               0.001703,               0.001703,               0.001703
                     78,                 1.0217,                0.83327,                 1.2123,                0.52767,                0.31562,                0.31163,                0.14667,                 2.3208,                 2.7469,                 2.4041,               0.001699,               0.001699,               0.001699
                     79,                 1.2849,                0.93621,                 1.3206,                0.60186,                0.32812,                0.33281,                0.14775,                 2.3583,                 2.5659,                 2.3971,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.3065,                0.94251,                 1.3246,                0.56873,                  0.275,                0.28809,                 0.1299,                 2.4924,                  2.697,                 2.4614,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.3823,                 1.1449,                 1.3045,                0.56873,                  0.275,                0.28809,                 0.1299,                 2.4924,                  2.697,                 2.4614,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.3825,                 1.1418,                 1.3054,                0.30938,                0.29063,                0.19348,                0.08561,                 2.5004,                 3.6211,                 2.4488,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.2391,                 1.0819,                 1.2335,                0.38657,                 0.2875,                0.22272,                 0.0879,                  2.535,                 3.7445,                  2.502,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.3586,                0.98025,                 1.3506,                0.51832,                0.30625,                0.30332,                0.13489,                 2.3065,                 3.5345,                 2.3178,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.1782,                0.96767,                 1.3066,                0.51832,                0.30625,                0.30332,                0.13489,                 2.3065,                 3.5345,                 2.3178,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.2653,                 1.0116,                 1.3238,                0.58321,                0.35313,                0.34242,                0.16008,                 2.1531,                 3.6338,                  2.193,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.1367,                0.85011,                 1.1781,                0.64487,                 0.3375,                0.33365,                0.15893,                 2.2053,                 3.5521,                 2.3253,              0.0016634,              0.0016634,              0.0016634
                     88,                 1.1163,                0.96682,                 1.2563,                0.56745,                0.30938,                0.31399,                0.15477,                 2.2736,                 2.8758,                 2.4005,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.3481,                 1.0669,                 1.2623,                0.56745,                0.30938,                0.31399,                0.15477,                 2.2736,                 2.8758,                 2.4005,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.0847,                0.88148,                 1.2146,                0.43149,                0.31875,                0.28393,                0.13798,                 2.3171,                 2.9768,                 2.4527,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.3767,                 1.1276,                 1.3954,                0.54405,                0.25938,                0.29115,                 0.1397,                 2.2915,                 2.9154,                 2.3723,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.2555,                 1.0086,                 1.3081,                0.51744,                0.31562,                0.30955,                 0.1437,                 2.2856,                  2.908,                 2.2857,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.2391,                0.92498,                 1.2567,                0.51744,                0.31562,                0.30955,                 0.1437,                 2.2856,                  2.908,                 2.2857,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.2416,                0.90773,                 1.2594,                0.55469,                0.30312,                0.30594,                0.15037,                 2.2539,                 2.8787,                 2.2283,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.1901,                0.94734,                 1.2326,                0.51458,                0.34687,                0.32116,                0.15262,                  2.297,                 2.8493,                 2.2585,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.2431,                 1.0155,                 1.1963,                0.55043,                0.34687,                0.34521,                0.16116,                 2.3139,                 2.7504,                 2.2836,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.1716,                0.92905,                 1.2286,                0.55043,                0.34687,                0.34521,                0.16116,                 2.3139,                 2.7504,                 2.2836,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.1212,                 1.0122,                 1.2162,                 0.5775,                0.33125,                0.34326,                0.15441,                 2.3197,                  2.808,                 2.3261,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.2785,                 1.0288,                 1.1981,                0.58068,                0.31159,                0.31851,                0.13797,                 2.3504,                 2.8571,                 2.4064,              0.0016159,              0.0016159,              0.0016159
                    100,                  1.136,                0.93527,                  1.215,                0.52084,                 0.3261,                0.31773,                0.14653,                 2.2931,                  2.912,                 2.3876,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.3599,                0.95569,                 1.3498,                0.52084,                 0.3261,                0.31773,                0.14653,                 2.2931,                  2.912,                 2.3876,               0.001608,               0.001608,               0.001608
                    102,                 1.2241,                0.95268,                 1.3337,                0.52587,                    0.3,                0.26609,                0.12641,                 2.2945,                 3.0891,                 2.4062,               0.001604,               0.001604,               0.001604
                    103,                 1.1657,                0.92267,                  1.238,                0.46033,                0.27455,                0.21816,                 0.1089,                  2.283,                 3.0665,                 2.4359,                 0.0016,                 0.0016,                 0.0016
                    104,                 1.2142,                0.99698,                 1.2578,                0.52136,                0.30938,                0.28234,                0.13899,                  2.338,                 2.7588,                 2.4548,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.1361,                0.91494,                 1.2206,                0.52136,                0.30938,                0.28234,                0.13899,                  2.338,                 2.7588,                 2.4548,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.0965,                0.86546,                 1.2157,                0.66478,                0.31875,                0.36016,                0.16713,                 2.3402,                 2.3797,                 2.3971,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.1738,                0.89811,                 1.2087,                0.65271,                  0.325,                0.35863,                0.16747,                 2.3058,                 2.2401,                 2.4365,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.1928,                 1.0164,                 1.2306,                0.50464,                 0.3375,                0.31943,                0.15043,                 2.3885,                 2.3487,                 2.5627,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.0817,                0.88853,                   1.31,                0.50464,                 0.3375,                0.31943,                0.15043,                 2.3885,                 2.3487,                 2.5627,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.1637,                0.82434,                 1.2453,                0.49059,                0.33106,                 0.2989,                0.13112,                 2.4881,                  2.572,                 2.6811,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.2715,                0.87139,                 1.3113,                0.52983,                0.33437,                0.31301,                0.13938,                 2.4262,                 2.6695,                 2.5712,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.1905,                0.88922,                 1.1707,                0.63675,                  0.325,                0.34938,                0.15244,                 2.4288,                 2.6801,                 2.5316,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.2317,                0.95103,                 1.2694,                0.63675,                  0.325,                0.34938,                0.15244,                 2.4288,                 2.6801,                 2.5316,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.1667,                0.84736,                 1.1585,                0.55723,                0.33437,                0.34569,                0.14467,                 2.4656,                 2.7848,                 2.5266,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.0859,                0.77494,                 1.2139,                0.51461,                0.28162,                0.28625,                0.12354,                  2.476,                 3.1246,                 2.4728,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.1201,                0.91134,                 1.2046,                0.45297,                0.30312,                0.27921,                0.12356,                 2.4634,                 3.2472,                 2.4335,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.1515,                  1.041,                 1.2481,                0.45297,                0.30312,                0.27921,                0.12356,                 2.4634,                 3.2472,                 2.4335,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.1975,                0.92574,                 1.2194,                0.49507,                 0.2375,                0.21808,                0.10198,                 2.5343,                 3.3369,                 2.4562,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.2547,                 1.0047,                 1.2451,                0.47454,                0.22187,                0.19579,                 0.0976,                 2.5676,                 3.3877,                 2.4814,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.1915,                0.91586,                 1.2872,                0.40703,                0.23438,                0.20447,                0.09732,                 2.5334,                 3.4672,                 2.5001,              0.0015327,              0.0015327,              0.0015327
                    121,                 1.0666,                0.76348,                 1.1243,                0.40703,                0.23438,                0.20447,                0.09732,                 2.5334,                 3.4672,                 2.5001,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.1982,                0.90504,                 1.1605,                0.36039,                0.23125,                0.19504,                0.08874,                 2.5335,                 3.5964,                 2.5572,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.0731,                 0.8527,                 1.1731,                 0.5003,                0.28785,                 0.2491,                0.10862,                 2.4899,                   3.15,                 2.5114,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.0879,                0.87246,                 1.2167,                0.55455,                0.24121,                0.25162,                0.12071,                  2.495,                 2.8919,                 2.5361,              0.0015169,              0.0015169,              0.0015169
                    125,                0.98412,                0.76531,                 1.1173,                0.55455,                0.24121,                0.25162,                0.12071,                  2.495,                 2.8919,                 2.5361,              0.0015129,              0.0015129,              0.0015129
                    126,                 1.1779,                0.88868,                 1.2547,                0.59913,                0.24688,                0.27211,                  0.127,                 2.5071,                 2.9031,                 2.5185,               0.001509,               0.001509,               0.001509
                    127,                 1.3301,                 1.0571,                 1.4001,                0.65688,                0.20625,                0.23405,                0.11085,                  2.588,                 3.2617,                 2.5539,               0.001505,               0.001505,               0.001505
                    128,                 1.1142,                0.97957,                 1.2273,                0.53269,                 0.2743,                0.28913,                0.13281,                 2.5244,                 2.7604,                 2.5043,               0.001501,               0.001501,               0.001501
                    129,                 1.1841,                0.89401,                 1.2443,                0.53269,                 0.2743,                0.28913,                0.13281,                 2.5244,                 2.7604,                 2.5043,              0.0014971,              0.0014971,              0.0014971
                    130,                 1.2195,                 1.0151,                 1.2893,                0.57955,                    0.3,                0.30882,                0.14606,                  2.437,                 2.4034,                 2.4479,              0.0014931,              0.0014931,              0.0014931
                    131,                 1.0296,                0.87824,                  1.202,                0.51246,                0.40625,                0.36417,                0.17701,                 2.3371,                 2.2834,                 2.4121,              0.0014892,              0.0014892,              0.0014892
                    132,                  1.157,                0.88588,                 1.2595,                0.64282,                0.39375,                0.39933,                0.20376,                 2.2542,                 2.3346,                 2.2927,              0.0014852,              0.0014852,              0.0014852
                    133,                 1.1741,                 1.0106,                 1.1581,                0.64282,                0.39375,                0.39933,                0.20376,                 2.2542,                 2.3346,                 2.2927,              0.0014812,              0.0014812,              0.0014812
                    134,                 1.1023,                0.81627,                 1.1686,                0.61336,                0.38438,                0.40317,                0.19278,                 2.2574,                 2.5492,                 2.2833,              0.0014773,              0.0014773,              0.0014773
                    135,                  1.135,                0.88838,                 1.1954,                0.71643,                   0.35,                0.39719,                0.20024,                 2.1921,                 2.6103,                 2.2289,              0.0014733,              0.0014733,              0.0014733
                    136,                 1.0908,                 1.0572,                 1.2184,                0.67912,                0.35053,                0.38904,                0.19743,                 2.1794,                 2.6236,                  2.229,              0.0014694,              0.0014694,              0.0014694
                    137,                  1.081,                0.88013,                 1.1806,                0.67912,                0.35053,                0.38904,                0.19743,                 2.1794,                 2.6236,                  2.229,              0.0014654,              0.0014654,              0.0014654
                    138,                 1.1634,                0.95681,                 1.2487,                0.68174,                0.35625,                0.38999,                0.19129,                  2.239,                 2.5297,                 2.2812,              0.0014614,              0.0014614,              0.0014614
                    139,                  1.065,                0.82767,                 1.1526,                0.64731,                 0.3556,                0.39074,                0.18982,                 2.2497,                 2.4385,                 2.2868,              0.0014575,              0.0014575,              0.0014575
                    140,                 1.1866,                0.93273,                 1.1875,                0.63922,                0.37651,                0.39949,                 0.1972,                 2.2301,                 2.3809,                 2.2618,              0.0014535,              0.0014535,              0.0014535
                    141,                 1.1396,                0.85307,                 1.2347,                0.63922,                0.37651,                0.39949,                 0.1972,                 2.2301,                 2.3809,                 2.2618,              0.0014496,              0.0014496,              0.0014496
                    142,                 1.1001,                0.80847,                 1.2283,                0.59127,                0.38438,                0.38696,                0.19201,                 2.2857,                 2.4719,                 2.3103,              0.0014456,              0.0014456,              0.0014456
                    143,                 1.1481,                0.85542,                 1.1691,                0.65721,                0.33125,                0.35286,                0.16911,                  2.349,                 2.6076,                 2.3745,              0.0014416,              0.0014416,              0.0014416
                    144,                  1.207,                0.81007,                 1.1857,                0.74141,                  0.325,                0.35414,                0.17321,                 2.3675,                 2.6005,                  2.476,              0.0014377,              0.0014377,              0.0014377
                    145,                 1.1068,                0.81799,                  1.169,                0.74141,                  0.325,                0.35414,                0.17321,                 2.3675,                 2.6005,                  2.476,              0.0014337,              0.0014337,              0.0014337
                    146,                 1.1024,                0.81941,                 1.2153,                0.61738,                0.31562,                0.34594,                0.17286,                 2.3399,                 2.5797,                 2.5329,              0.0014298,              0.0014298,              0.0014298
                    147,                 1.0035,                0.77602,                 1.2498,                0.45697,                0.36562,                 0.3009,                 0.1416,                 2.3001,                 2.9015,                 2.5364,              0.0014258,              0.0014258,              0.0014258
                    148,                  1.032,                0.87063,                 1.1833,                0.37033,                0.36875,                 0.2159,                0.10212,                 2.3041,                 3.3762,                 2.5552,              0.0014218,              0.0014218,              0.0014218
                    149,                 1.0358,                0.93154,                 1.2341,                0.37033,                0.36875,                 0.2159,                0.10212,                 2.3041,                 3.3762,                 2.5552,              0.0014179,              0.0014179,              0.0014179
                    150,                0.88205,                  0.658,                 1.0638,                0.34904,                 0.3502,                0.18122,                0.08317,                 2.3041,                 3.5427,                 2.5547,              0.0014139,              0.0014139,              0.0014139
                    151,                0.97699,                0.79348,                 1.1414,                 0.3792,                  0.325,                0.23039,                0.11029,                 2.3031,                 3.2266,                 2.5207,                0.00141,                0.00141,                0.00141
